Co,Al,W,Ni,Ti,Cr,Ge,Ta,B,Mo,Re,Nb,Mn,Si,V,Fe,Zr,Hf,Ru,Ir,La,Y,Mg,C,Cu,P,S,Pt,Ar
14.49165417,6.629964685,1.28694527,71.85175634,5.424909992,0,0,0,0.06405184,0,0,0,0,0,0,0,0.033526097,0.106688174,0,0,0,0,0,0.110503428,0,0,0,0,0
5.691843086,12.43214864,0,71.13255172,0,5.299219876,0,1.853785181,0,1.498117512,2.058774826,0,0,0,0,0,0,0.033559153,0,0,0,0,0,0,0,0,0,0,0
0,4.808294304,0.36818929,71.05916426,7.306096384,14.64511935,0,0,0.078262787,1.645878262,0,0,0,0,0,0,0.018549921,0,0,0,0,0,0,0.070445435,0,0,0,0,0
0,6.25,0.5,70.01,4.8,15.1,0,1.2,0.15,1.8,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.14,0,0,0,0,0
0,9,21,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.384349239,12.08057083,0,69.10218425,0.888703052,12.75007183,0,0.015265768,0.061322173,2.694373321,0,1.373626299,0.050280427,0.098353541,0,0.148391532,0.054504901,0,0,0,0,0,0,0.229987293,0.04346943,0.012485509,0.012060601,0,0
9.915280858,10.62025959,0,67.1154284,1.103375437,9.195819909,0,0.819751265,0,0.427429299,0,0,0,0,0,0,0.006159175,0.469033699,0,0,0,0,0,0.327462361,0,0,0,0,0
10.6,12.1,3.2,61.3,1.1,10.2,0,0.7,0.015,0.5,0,0,0,0,0,0,0.05,0.3,0,0,0,0,0,0.16,0,0,0,0,0
7.656582407,8.361770444,0.797697622,60.15753408,4.006338756,17.3561811,0,0.841618408,0,0.352667932,0,0,0,0,0,0,0,0,0,0,0,0,0,0.469609248,0,0,0,0,0
0,1.044850813,0,59.84801776,0,20.060971,0,0,0,0,0,0,0,0,0,18.67834639,0,0,0,0,0,0,0,0.234721395,0.133092638,0,0,0,0
19.8,4.5,0,59.5,5.6,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.450166309,6.900167715,1.043777724,58.72144911,3.85367487,18.11167612,0,0.514449635,0.422603294,1.130764381,0,0.540936008,0,0,0,0,0.02504146,0,0,0,0,0,0,0.285293377,0,0,0,0,0
19.6,8.6,0,58.4,2.7,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.5,3.2,0,58.3,8.2,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
